,urls,attraction
131,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d554342-Reviews-Korean_Folk_Village-Yongin_Gyeonggi_do.html#REVIEWS,Korean_Folk_Village-Yongin_Gyeonggi_do
132,https://www.tripadvisor.co.kr/Attraction_Review-g1643550-d4094766-Reviews-Yongin_City_Agriculural_Technology_Center-Yongin_Gyeonggi_do.html#REVIEWS,Yongin_City_Agriculural_Technology_Center-Yongin_Gyeonggi_do
133,https://www.tripadvisor.co.kr/Attraction_Review-g2024803-d7050163-Reviews-Eumseong_Large_Rock_Face_Sculpture_Park-Eumseong_gun_Chungcheongbuk_do.html#REVIEWS,Eumseong_Large_Rock_Face_Sculpture_Park-Eumseong_gun_Chungcheongbuk_do
134,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1836198-Reviews-National_Palace_Museum_of_Korea-Seoul.html#REVIEWS,National_Palace_Museum_of_Korea-Seoul
135,https://www.tripadvisor.co.kr/Attraction_Review-g789433-d1886991-Reviews-Hanji_Theme_Park-Wonju_Gangwon_do.html#REVIEWS,Hanji_Theme_Park-Wonju_Gangwon_do
136,https://www.tripadvisor.co.kr/Attraction_Review-g789433-d5924168-Reviews-Museum_SAN-Wonju_Gangwon_do.html#REVIEWS,Museum_SAN-Wonju_Gangwon_do
137,https://www.tripadvisor.co.kr/Attraction_Review-g789433-d13810098-Reviews-Mount_Sogeum_Swinging_Bridge-Wonju_Gangwon_do.html#REVIEWS,Mount_Sogeum_Swinging_Bridge-Wonju_Gangwon_do
138,https://www.tripadvisor.co.kr/Attraction_Review-g789433-d4087312-Reviews-Ganhyeon_Yuwonji-Wonju_Gangwon_do.html#REVIEWS,Ganhyeon_Yuwonji-Wonju_Gangwon_do
139,https://www.tripadvisor.co.kr/Attraction_Review-g2024868-d4095649-Reviews-Geumnamro_Park-Gwangju_Gyeonggi_do.html#REVIEWS,Geumnamro_Park-Gwangju_Gyeonggi_do
140,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d4323885-Reviews-Chungjeongno_NANTA_Theatre-Seoul.html#REVIEWS,Chungjeongno_NANTA_Theatre-Seoul
141,https://www.tripadvisor.co.kr/Attraction_Review-g304129-d12657497-Reviews-Asia_Culture_Center-Gwangju.html#REVIEWS,Asia_Culture_Center-Gwangju
142,https://www.tripadvisor.co.kr/Attraction_Review-g304129-d1880975-Reviews-The_Street_of_Art-Gwangju.html#REVIEWS,The_Street_of_Art-Gwangju
143,https://www.tripadvisor.co.kr/Attraction_Review-g2024867-d8790372-Reviews-Gwangmyeong_Cave-Gwangmyeong_Gyeonggi_do.html#REVIEWS,Gwangmyeong_Cave-Gwangmyeong_Gyeonggi_do
144,https://www.tripadvisor.co.kr/Attraction_Review-g2024867-d13151736-Reviews-Statue_of_Peace-Gwangmyeong_Gyeonggi_do.html#REVIEWS,Statue_of_Peace-Gwangmyeong_Gyeonggi_do
