url,title
/Attraction_Review-g294197-d4094903-Reviews-Ice_Gallery-Seoul.html,Ice Gallery
/Attraction_Review-g294197-d2015834-Reviews-Paradise_Casino_Walkerhill-Seoul.html,Paradise Casino Walkerhill
/Attraction_Review-g294197-d6352852-Reviews-Mecenatpolis_Mall-Seoul.html,Mecenatpolis Mall
/Attraction_Review-g294197-d10758285-Reviews-Statue_of_Gangnam_Style-Seoul.html,Statue of Gangnam Style
/Attraction_Review-g294197-d2367771-Reviews-Seoul_Folk_Flea_Market-Seoul.html,Seoul Folk Flea Market
/Attraction_Review-g294197-d9583069-Reviews-Seocho_Tourist_Information_Center-Seoul.html,Seocho Tourist Information Center
/Attraction_Review-g294197-d3808256-Reviews-Itaewon_Antique_Furniture_Street-Seoul.html,Itaewon Antique Furniture Street
/Attraction_Review-g294197-d592521-Reviews-Museum_Kimchikan-Seoul.html,Museum Kimchikan
/Attraction_Review-g294197-d592483-Reviews-Aquarium_63_SeaWorld-Seoul.html,Aquarium 63 SeaWorld
/Attraction_Review-g294197-d2173769-Reviews-Sebitseom-Seoul.html,Sebitseom
/Attraction_Review-g294197-d12910217-Reviews-L_atelier-Seoul.html,L’atelier
/Attraction_Review-g294197-d4094809-Reviews-Ttukseom_Hangang_Park-Seoul.html,Ttukseom Hangang Park
/Attraction_Review-g294197-d3694539-Reviews-Daelim_Museum-Seoul.html,Daelim Museum
/Attraction_Review-g294197-d10479243-Reviews-Baek_In_Je_House_Museum-Seoul.html,Baek In-Je House Museum
/Attraction_Review-g294197-d9583000-Reviews-Lotte_FitIn-Seoul.html,Lotte FitIn
/Attraction_Review-g294197-d11879752-Reviews-Myeongdong_Underground_Shopping_Center-Seoul.html,Myeongdong Underground Shopping Center
/Attraction_Review-g294197-d1957485-Reviews-Hongik_University-Seoul.html,Hongik University
/Attraction_Review-g294197-d11434444-Reviews-Kukkiwon_World_Taekwondo_Headquarters-Seoul.html,Kukkiwon World Taekwondo Headquarters
/Attraction_Review-g294197-d4412686-Reviews-An_Jung_geun_Memorial_Hall-Seoul.html,An Jung-geun Memorial Hall
/Attraction_Review-g294197-d3808299-Reviews-Children_s_Museum_of_National_Museum_of_Korea-Seoul.html,Children’s Museum of National Museum of Korea
/Attraction_Review-g294197-d1627541-Reviews-Star_Avenue_at_Lotte_World-Seoul.html,Star Avenue at Lotte World
/Attraction_Review-g294197-d7717516-Reviews-National_Hangeul_Museum-Seoul.html,National Hangeul Museum
/Attraction_Review-g294197-d6960656-Reviews-Mario_outlet-Seoul.html,Mario outlet
/Attraction_Review-g294197-d324951-Reviews-Tapgol_Park-Seoul.html,Tapgol Park
/Attraction_Review-g294197-d1761206-Reviews-Seoul_Global_Cultural_Center-Seoul.html,Seoul Global Cultural Center
/Attraction_Review-g294197-d592487-Reviews-Boramae_Park-Seoul.html,Boramae Park
/Attraction_Review-g294197-d14202981-Reviews-Ansan_Jarak_gil-Seoul.html,Ansan Jarak-gil
/Attraction_Review-g294197-d592507-Reviews-King_Sejong_Memorial_Hall-Seoul.html,King Sejong Memorial Hall
/Attraction_Review-g294197-d1972740-Reviews-Seven_Luck_Casino_Gangnam_Coex-Seoul.html,Seven Luck Casino Gangnam Coex
/Attraction_Review-g294197-d11960625-Reviews-Figure_Museum-Seoul.html,Figure Museum
/Attraction_Review-g294197-d7028430-Reviews-Yangjae_Citizens_Park-Seoul.html,Yangjae Citizens' Park
/Attraction_Review-g294197-d12986884-Reviews-Dongdaemun_Seonggwak_Park-Seoul.html,Dongdaemun Seonggwak Park
/Attraction_Review-g294197-d3805483-Reviews-Seodaemun_Museum_of_Natural_History-Seoul.html,Seodaemun Museum of Natural History
/Attraction_Review-g294197-d10813620-Reviews-Seoul_Metropolitan_Library-Seoul.html,Seoul Metropolitan Library
/Attraction_Review-g294197-d7028448-Reviews-Montmartre_Park-Seoul.html,Montmartre Park
/Attraction_Review-g294197-d3805521-Reviews-Jeongneung_Royal_Tomb-Seoul.html,Jeongneung Royal Tomb
/Attraction_Review-g294197-d13651545-Reviews-Hyundai_Card_Music_Library-Seoul.html,Hyundai Card Music Library
/Attraction_Review-g294197-d14192340-Reviews-Amore_Pacific_Museum_of_Art-Seoul.html,Amore Pacific Museum of Art
/Attraction_Review-g294197-d1532473-Reviews-Nampyeonghwa_Sangga-Seoul.html,Nampyeonghwa Sangga
/Attraction_Review-g294197-d3805427-Reviews-Beautiful_Tea_Museum-Seoul.html,Beautiful Tea Museum
/Attraction_Review-g294197-d10483406-Reviews-Hello_APM-Seoul.html,Hello APM
/Attraction_Review-g294197-d2341887-Reviews-Dosan_Neighborhood_Park-Seoul.html,Dosan Neighborhood Park
/Attraction_Review-g294197-d10020511-Reviews-Hi_Seoul_Festival-Seoul.html,Hi Seoul Festival
/Attraction_Review-g294197-d3808303-Reviews-Children_s_Folk_Museum-Seoul.html,Children's Folk Museum
/Attraction_Review-g294197-d2369065-Reviews-Owl_Museum-Seoul.html,Owl Museum
/Attraction_Review-g294197-d2428773-Reviews-Hoehyeon_Underground_Shopping_area-Seoul.html,Hoehyeon Underground Shopping area
/Attraction_Review-g294197-d8556104-Reviews-Myeong_Dong_Tourist_Information_Center-Seoul.html,Myeong-Dong Tourist Information Center
/Attraction_Review-g294197-d2293590-Reviews-MMCA_National_Museum_of_Contemporary_Art_Deoksugung-Seoul.html,"MMCA - National Museum of Contemporary Art, Deoksugung"
/Attraction_Review-g294197-d7060791-Reviews-63_Sky_Art-Seoul.html,63 Sky Art
/Attraction_Review-g294197-d11772906-Reviews-Airport_Railroad_Travel_Center-Seoul.html,Airport Railroad Travel Center
/Attraction_Review-g294197-d15693012-Reviews-K_Style_Hub-Seoul.html,K-Style Hub
/Attraction_Review-g294197-d13412916-Reviews-Ssentoy_Museum_Showroom-Seoul.html,Ssentoy Museum & Showroom
/Attraction_Review-g294197-d7154928-Reviews-Dongmyo_Flea_Market-Seoul.html,Dongmyo Flea Market
/Attraction_Review-g294197-d3694651-Reviews-Yeongdeungpo_Market-Seoul.html,Yeongdeungpo Market
/Attraction_Review-g294197-d3805601-Reviews-Bosingak-Seoul.html,Bosingak
/Attraction_Review-g294197-d4798698-Reviews-Seoul_Olympic_Museum-Seoul.html,Seoul Olympic Museum
/Attraction_Review-g294197-d13138039-Reviews-Yonsei_University_Sinchon_Campus-Seoul.html,Yonsei University Sinchon Campus
/Attraction_Review-g294197-d13172633-Reviews-Gyeongui_Line_Book_Street-Seoul.html,Gyeongui Line Book Street
/Attraction_Review-g294197-d1831099-Reviews-National_Gugak_Center-Seoul.html,National Gugak Center
/Attraction_Review-g294197-d10677413-Reviews-Namsan_Outdoor_Botanical_Garden-Seoul.html,Namsan Outdoor Botanical Garden
/Attraction_Review-g294197-d2015883-Reviews-Good_Morning_City-Seoul.html,Good Morning City
/Attraction_Review-g294197-d12928976-Reviews-Digital_Media_City_Gallery-Seoul.html,Digital Media City Gallery
/Attraction_Review-g294197-d1176552-Reviews-Heojun_Museum-Seoul.html,Heojun Museum
/Attraction_Review-g294197-d10720451-Reviews-Jonggak_Avenue_of_Youth-Seoul.html,Jonggak Avenue of Youth
/Attraction_Review-g294197-d8749178-Reviews-Pyeonghwa_Market-Seoul.html,Pyeonghwa Market
/Attraction_Review-g294197-d1957629-Reviews-The_National_Assembly_Building-Seoul.html,The National Assembly Building
/Attraction_Review-g294197-d14771392-Reviews-Queen_Mama_Market-Seoul.html,Queen Mama Market
/Attraction_Review-g294197-d10897838-Reviews-Bugak_Skyway-Seoul.html,Bugak Skyway
/Attraction_Review-g294197-d15075839-Reviews-Hyundai_City_Outlets_Dongdaemun-Seoul.html,Hyundai City Outlets - Dongdaemun
/Attraction_Review-g294197-d2571695-Reviews-Waryong_Park-Seoul.html,Waryong Park
/Attraction_Review-g294197-d1908282-Reviews-Sanmotoonge-Seoul.html,sanmotoonge
/Attraction_Review-g294197-d10253198-Reviews-Seoul_Finance_Center-Seoul.html,Seoul Finance Center
/Attraction_Review-g294197-d4094877-Reviews-Chungmu_Arts_Center-Seoul.html,Chungmu Arts Center
/Attraction_Review-g294197-d7353795-Reviews-Bukchon_Observatory-Seoul.html,Bukchon Observatory
/Attraction_Review-g294197-d3197992-Reviews-The_National_Theater_of_Korea-Seoul.html,The National Theater of Korea
/Attraction_Review-g294197-d632509-Reviews-Hwagyesa_Temple-Seoul.html,Hwagyesa Temple
/Attraction_Review-g294197-d2519674-Reviews-Seoul_Animation_Center-Seoul.html,Seoul Animation Center
/Attraction_Review-g294197-d11928572-Reviews-Samcheong_Park-Seoul.html,Samcheong Park
/Attraction_Review-g294197-d12986927-Reviews-Mapo_Oil_Tank_Culture_Park-Seoul.html,Mapo Oil Tank Culture Park
/Attraction_Review-g294197-d12339161-Reviews-Jamsil_Sports_Complex-Seoul.html,Jamsil Sports Complex
/Attraction_Review-g294197-d2341861-Reviews-Yeouido_Saetgang_Ecological_Park-Seoul.html,Yeouido Saetgang Ecological Park
/Attraction_Review-g294197-d7891946-Reviews-Seoul_Anglican_Cathedral-Seoul.html,Seoul Anglican Cathedral
/Attraction_Review-g294197-d7891838-Reviews-LG_Arts_Center-Seoul.html,LG Arts Center
/Attraction_Review-g294197-d15634430-Reviews-Haebangchon-Seoul.html,Haebangchon
/Attraction_Review-g294197-d7264066-Reviews-Suseongdong_Valley-Seoul.html,Suseongdong Valley
/Attraction_Review-g294197-d4095681-Reviews-Jangchungdan_Park-Seoul.html,Jangchungdan Park
/Attraction_Review-g294197-d1960133-Reviews-Choong_Ang_High_School_Location_for_Winter_Sonata-Seoul.html,Choong Ang High School (Location for Winter Sonata)
/Attraction_Review-g294197-d4235275-Reviews-Charlotte_Theater-Seoul.html,Charlotte Theater
/Attraction_Review-g294197-d15051248-Reviews-Hallyu_K_Star_Road-Seoul.html,Hallyu K-Star Road
/Attraction_Review-g294197-d8404036-Reviews-Insadong_P_R_Tourist_Information_Center-Seoul.html,Insadong P.R & Tourist Information Center
/Attraction_Review-g294197-d1862199-Reviews-Myeongdong_Seocobulhanjeungmag-Seoul.html,Myeongdong Seocobulhanjeungmag
/Attraction_Review-g294197-d4798710-Reviews-Songpa_Naru_Park-Seoul.html,Songpa Naru Park
/Attraction_Review-g294197-d12763399-Reviews-Statue_of_Peace-Seoul.html,Statue of Peace
/Attraction_Review-g294197-d1804662-Reviews-Hongneung_Arboretum-Seoul.html,Hongneung Arboretum
/Attraction_Review-g294197-d11879469-Reviews-Dongdaemun_Underground_Shopping_Center-Seoul.html,Dongdaemun Underground Shopping Center
/Attraction_Review-g294197-d7891943-Reviews-Mongchontoseong_Fortress-Seoul.html,Mongchontoseong Fortress
/Attraction_Review-g294197-d10020510-Reviews-Hanseong_Baekje_Cultural_Festival-Seoul.html,Hanseong Baekje Cultural Festival
/Attraction_Review-g294197-d592482-Reviews-Bongwonsa_Temple-Seoul.html,Bongwonsa Temple
/Attraction_Review-g294197-d10464413-Reviews-CineCore_Bibap_Theater-Seoul.html,CineCore Bibap Theater
/Attraction_Review-g294197-d1992546-Reviews-Myeongdong_Migliore-Seoul.html,Myeongdong Migliore
/Attraction_Review-g294197-d12871271-Reviews-Deoksugung_Doldam_gil-Seoul.html,Deoksugung Doldam-gil
/Attraction_Review-g294197-d2255376-Reviews-Naksan_Myogaksa-Seoul.html,Naksan Myogaksa
/Attraction_Review-g294197-d3136733-Reviews-Chilgung-Seoul.html,Chilgung
/Attraction_Review-g294197-d4427670-Reviews-Seoul_University_Hospital_Medical_Museum-Seoul.html,Seoul University Hospital Medical Museum
/Attraction_Review-g294197-d10376613-Reviews-Mangwon_Hangang_Park-Seoul.html,Mangwon Hangang Park
/Attraction_Review-g294197-d10897845-Reviews-Bugak_Palgakjeong_Pavilion-Seoul.html,Bugak Palgakjeong Pavilion
/Attraction_Review-g294197-d5924658-Reviews-Seoul_Museum-Seoul.html,Seoul Museum
/Attraction_Review-g294197-d6847894-Reviews-Yanghwajin_Foreign_Missionary_Cemetery-Seoul.html,Yanghwajin Foreign Missionary Cemetery
/Attraction_Review-g294197-d592450-Reviews-Agricultural_Museum-Seoul.html,Agricultural Museum
/Attraction_Review-g294197-d11879847-Reviews-Seoul_Intercity_Bus-Seoul.html,Seoul Intercity Bus
/Attraction_Review-g294197-d7891676-Reviews-Garden_5-Seoul.html,Garden 5
/Attraction_Review-g294197-d8121688-Reviews-Chungmuro_Pet_Street-Seoul.html,Chungmuro Pet Street
/Attraction_Review-g294197-d3805519-Reviews-Jingwansa_Temple-Seoul.html,Jingwansa Temple
/Attraction_Review-g294197-d7717447-Reviews-Hwangudan_Altar-Seoul.html,Hwangudan Altar
/Attraction_Review-g294197-d14789834-Reviews-Seoul_Children_s_Museum-Seoul.html,Seoul Children's Museum
/Attraction_Review-g294197-d12841946-Reviews-Lotte_Concert_Hall-Seoul.html,Lotte Concert Hall
/Attraction_Review-g294197-d8449187-Reviews-Seoul_Baekje_Museum-Seoul.html,Seoul Baekje Museum
/Attraction_Review-g294197-d13169763-Reviews-World_Peace_Gate-Seoul.html,World Peace Gate
/Attraction_Review-g294197-d4095671-Reviews-Yonsei_University_Museum-Seoul.html,Yonsei University Museum
/Attraction_Review-g294197-d8693245-Reviews-3D_Black_Art_Museum-Seoul.html,3D Black Art Museum
/Attraction_Review-g294197-d1946087-Reviews-Grand_Mart-Seoul.html,Grand Mart
/Attraction_Review-g294197-d14147296-Reviews-Seoul_Bamdokkaebi_Night_Market_Yeouido-Seoul.html,Seoul Bamdokkaebi Night Market - Yeouido
/Attraction_Review-g294197-d4094936-Reviews-Knife_Gallery-Seoul.html,Knife Gallery
/Attraction_Review-g294197-d3670803-Reviews-Museum_of_Art_Seoul_National_University-Seoul.html,"Museum of Art, Seoul National University"
/Attraction_Review-g294197-d7892136-Reviews-Appenzeller_Noble_Memorial_Museum-Seoul.html,Appenzeller Noble Memorial Museum
/Attraction_Review-g294197-d14202847-Reviews-Gyeongchun_Supgil-Seoul.html,Gyeongchun Supgil
/Attraction_Review-g294197-d8724136-Reviews-Bugaksan_Mountain-Seoul.html,Bugaksan Mountain
/Attraction_Review-g294197-d592520-Reviews-Marronnier_Park-Seoul.html,Marronnier Park
/Attraction_Review-g294197-d4095680-Reviews-Nakseongdae_Park-Seoul.html,Nakseongdae Park
/Attraction_Review-g294197-d14957337-Reviews-Piknic-Seoul.html,piknic
